Column_Name,ObjectID,NumOID,ImportID,ContainerID,Num_ContainerID,Mandatory,DataType_Kind,Value_Type,Computed,Formula,ScopeEntityID,Num_ScopeEntityID,Domain_ID,Num_Domain_ID,Logical_Type_ID,Num_Logical_Type_ID,Distinct_Type_ID,Num_Distinct_Type_ID,Structured_Type_ID,Num_Structured_Type_ID,Collection_Type_ID,Num_Collection_Type_ID,Check_Constraint_Name,Default_Value,Use_Domain_Constraint,Domain_Name,Logical_Type_Name,Structured_Type_Name,Distinct_Type_Name,Collection_Type_Name,Uses_Default,Engineer,Table_Name,PK_Flag,FK_Flag,Native_Type,Sequence,ModelID,Num_ModelID,Model_Name,T_Size,T_Precision,T_Scale
"CEP",A3AA2D8F-CD9B-0C36-0BF9-AADCE9C6A909,75,,D9C6277D-939F-7AC4-3DC2-13CE0320D447,72,N,Logical Type,,N,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,N,Y,"Enderecos",,,VARCHAR2,3,B5F52A18-BB8E-25BD-B12C-EE3D44A35E24,69,"Relational_2",8 CHAR,,,
"Cidade",D5909CAE-A627-2548-5C5B-CE05DB06F805,76,,D9C6277D-939F-7AC4-3DC2-13CE0320D447,72,N,Logical Type,,N,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,N,Y,"Enderecos",,,VARCHAR2,5,B5F52A18-BB8E-25BD-B12C-EE3D44A35E24,69,"Relational_2",50 CHAR,,,
"Contato_Id",148F08E9-C993-4303-3771-3AB93F4C5606,77,,5D9127ED-0314-17EF-1AF8-0FC6F74E21BE,71,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT011,28,,,,,,,,,N,,Integer,,,,N,Y,"Emails",,F,INTEGER,4,B5F52A18-BB8E-25BD-B12C-EE3D44A35E24,69,"Relational_2",,,,
"Contato_Id",E1452F68-3A7C-4628-C1C4-2E7102A14839,78,,D9C6277D-939F-7AC4-3DC2-13CE0320D447,72,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT011,28,,,,,,,,,N,,Integer,,,,N,Y,"Enderecos",,F,INTEGER,7,B5F52A18-BB8E-25BD-B12C-EE3D44A35E24,69,"Relational_2",,,,
"Contatos_Id",B57D1BBC-95CF-71E5-6E31-54597A518FCB,79,,7129D239-B274-E176-202D-FB6249AB2248,73,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT011,28,,,,,,,,,N,,Integer,,,,N,Y,"Telefones",,F,INTEGER,5,B5F52A18-BB8E-25BD-B12C-EE3D44A35E24,69,"Relational_2",,,,
"DDD",657889C9-6CFF-EBA5-6D6F-35E98FC782D0,80,,7129D239-B274-E176-202D-FB6249AB2248,73,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT011,28,,,,,,,,,N,,Integer,,,,N,Y,"Telefones",,,INTEGER,3,B5F52A18-BB8E-25BD-B12C-EE3D44A35E24,69,"Relational_2",,,,
"Descricao",1F939989-F3D7-53C3-5DE3-918F295B898A,81,,F9A6D2BB-57F8-7C01-0BD4-9C8E8BE96AC6,74,N,Logical Type,,N,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,N,Y,"Tipos",,,VARCHAR2,2,B5F52A18-BB8E-25BD-B12C-EE3D44A35E24,69,"Relational_2",50 CHAR,,,
"Endereco",F1175461-90F7-7CB2-1A6E-1DA95DC72878,82,,5D9127ED-0314-17EF-1AF8-0FC6F74E21BE,71,N,Logical Type,,N,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,N,Y,"Emails",,,VARCHAR2,3,B5F52A18-BB8E-25BD-B12C-EE3D44A35E24,69,"Relational_2",50 CHAR,,,
"Endereco",473B4D68-AB4A-928B-D5F3-C120FBD3C61A,83,,D9C6277D-939F-7AC4-3DC2-13CE0320D447,72,N,Logical Type,,N,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,N,Y,"Enderecos",,,VARCHAR2,4,B5F52A18-BB8E-25BD-B12C-EE3D44A35E24,69,"Relational_2",100 CHAR,,,
"Id",6D7E8542-B572-7AC8-F939-7ADA319842AE,84,,5D9127ED-0314-17EF-1AF8-0FC6F74E21BE,71,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT011,28,,,,,,,,,N,,Integer,,,,N,Y,"Emails",P,,INTEGER,1,B5F52A18-BB8E-25BD-B12C-EE3D44A35E24,69,"Relational_2",,,,
